State: PRELAUNCH, Time: 550.76s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.24), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.02, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.305, velo : 0.463, apo : 1.308, r2 : 0.000 )
State: PRELAUNCH, Time: 550.78s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.81, 2.56, 33.24), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.315, velo : 0.468, apo : 1.334, r2 : 0.000 )
State: PRELAUNCH, Time: 550.80s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.15hPa , Euler: (177.81, 2.56, 33.24), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.354, velo : 0.758, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.82s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.14hPa , Euler: (177.81, 2.56, 33.24), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.386, velo : 0.917, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.84s , Lat: 34.612453, Lon: 127.205940, Alt: 1.42m , P: 1026.14hPa , Euler: (177.81, 2.56, 33.24), Gyro: (0.330, -0.180, -0.060), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.410, velo : 0.970, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.86s , Lat: 34.612453, Lon: 127.205940, Alt: 1.36m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.23), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.02, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.407, velo : 0.752, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.88s , Lat: 34.612453, Lon: 127.205940, Alt: 1.38m , P: 1026.15hPa , Euler: (177.85, 2.55, 33.23), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.02, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.408, velo : 0.623, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.90s , Lat: 34.612453, Lon: 127.205940, Alt: 1.38m , P: 1026.15hPa , Euler: (177.86, 2.54, 33.23), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.407, velo : 0.496, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.92s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.23), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.386, velo : 0.194, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.93s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.87, 2.53, 33.22), Gyro: (-0.340, 0.130, -0.010), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.371, velo : 0.017, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.95s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.86, 2.53, 33.20), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.359, velo : -0.104, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.97s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.16hPa , Euler: (177.85, 2.54, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.327, velo : -0.391, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 550.99s , Lat: 34.612453, Lon: 127.205940, Alt: 1.18m , P: 1026.17hPa , Euler: (177.84, 2.55, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.276, velo : -0.804, apo : 1.359, r2 : 0.000 )
State: PRELAUNCH, Time: 551.01s , Lat: 34.612453, Lon: 127.205940, Alt: 1.18m , P: 1026.17hPa , Euler: (177.84, 2.55, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.236, velo : -1.036, apo : 1.357, r2 : 0.000 )
State: PRELAUNCH, Time: 551.03s , Lat: 34.612453, Lon: 127.205940, Alt: 1.19m , P: 1026.17hPa , Euler: (177.82, 2.56, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.02, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.206, velo : -1.123, apo : 1.407, r2 : 0.000 )
State: PRELAUNCH, Time: 551.05s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.17hPa , Euler: (177.82, 2.57, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.206, velo : -0.904, apo : 1.445, r2 : 0.000 )
State: PRELAUNCH, Time: 551.07s , Lat: 34.612453, Lon: 127.205940, Alt: 1.26m , P: 1026.17hPa , Euler: (177.82, 2.56, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.209, velo : -0.699, apo : 1.401, r2 : 0.000 )
State: PRELAUNCH, Time: 551.09s , Lat: 34.612453, Lon: 127.205940, Alt: 1.31m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.231, velo : -0.363, apo : 1.446, r2 : 0.000 )
State: PRELAUNCH, Time: 551.11s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.83, 2.56, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.255, velo : -0.056, apo : 1.386, r2 : 0.000 )
State: PRELAUNCH, Time: 551.12s , Lat: 34.612453, Lon: 127.205940, Alt: 1.32m , P: 1026.16hPa , Euler: (177.84, 2.55, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, 0.02, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.276, velo : 0.157, apo : 1.411, r2 : 0.000 )
State: PRELAUNCH, Time: 551.14s , Lat: 34.612453, Lon: 127.205940, Alt: 1.28m , P: 1026.16hPa , Euler: (177.85, 2.54, 33.19), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.280, velo : 0.163, apo : 1.501, r2 : 0.000 )
State: PRELAUNCH, Time: 551.16s , Lat: 34.612453, Lon: 127.205940, Alt: 1.31m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.20), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.00, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.291, velo : 0.237, apo : 1.369, r2 : 0.000 )
State: PRELAUNCH, Time: 551.18s , Lat: 34.612453, Lon: 127.205940, Alt: 1.31m , P: 1026.16hPa , Euler: (177.86, 2.54, 33.20), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, 0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.300, velo : 0.274, apo : 1.353, r2 : 0.000 )
State: PRELAUNCH, Time: 551.20s , Lat: 34.612453, Lon: 127.205940, Alt: 1.30m , P: 1026.16hPa , Euler: (177.87, 2.54, 33.20), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.303, velo : 0.250, apo : 1.384, r2 : 0.000 )
State: PRELAUNCH, Time: 551.22s , Lat: 34.612453, Lon: 127.205940, Alt: 1.36m , P: 1026.15hPa , Euler: (177.85, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.02, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.324, velo : 0.404, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.24s , Lat: 34.612453, Lon: 127.205940, Alt: 1.36m , P: 1026.15hPa , Euler: (177.84, 2.55, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (-0.00, -0.01, -0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.340, velo : 0.484, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.26s , Lat: 34.612453, Lon: 127.205940, Alt: 1.33m , P: 1026.16hPa , Euler: (177.84, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.00, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.344, velo : 0.428, apo : nan, r2 : 0.000 )
State: PRELAUNCH, Time: 551.28s , Lat: 34.612453, Lon: 127.205940, Alt: 1.37m , P: 1026.15hPa , Euler: (177.83, 2.56, 33.18), Gyro: (0.000, 0.000, 0.000), Accel: (0.00, -0.01, 0.00), Pos: (-0.11, -0.02, -0.03), kal: (alt : 1.359, velo : 0.485, apo : nan, r2 : 0.000 )
