time,pressure
0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,-0.4025
850,0
860,0
870,-0.4025
880,-0.4025
890,0
900,-0.4025
910,-0.4025
920,-0.4025
930,-0.4025
940,-0.4025
950,0
960,0
970,1.2125
980,2.0175
990,4.44
1000,6.0525
1010,8.4725
1020,10.895
1030,13.315
1040,15.735
1050,18.56
1060,21.3825
1070,23.805
1080,26.225
1090,28.645
1100,31.065
1110,33.4875
1120,35.9075
1130,37.52
1140,39.135
1150,40.7475
1160,42.3625
1170,43.975
1180,44.7825
1190,45.9925
1200,46.3975
1210,47.2025
1220,47.2025
1230,47.2025
1240,46.3975
1250,46.3975
1260,47.2025
1270,46.3975
1280,45.9925
1290,45.59
1300,45.59
1310,45.59
1320,45.59
1330,44.7825
1340,45.59
1350,44.7825
1360,43.975
1370,43.975
1380,43.17
1390,43.975
1400,43.17
1410,42.3625
1420,42.3625
1430,42.3625
1440,42.3625
1450,41.555
1460,40.7475
1470,41.555
1480,40.7475
1490,39.9425
1500,39.9425
1510,39.135
1520,39.135
1530,39.135
1540,39.135
1550,37.52
1560,38.3275
1570,37.52
1580,37.52
1590,38.3275
1600,37.52
1610,37.52
1620,37.1175
1630,36.31
1640,35.9075
1650,35.1
1660,36.715
1670,35.1
1680,35.9075
1690,35.1
1700,34.2925
1710,33.4875
1720,33.4875
1730,33.0825
1740,32.68
1750,31.8725
1760,31.8725
1770,31.8725
1780,31.065
1790,30.26
1800,30.26
1810,29.4525
1820,28.645
1830,28.2425
1840,28.645
1850,27.8375
1860,27.0325
1870,26.225
1880,25.4175
1890,25.4175
1900,24.61
1910,23.805
1920,22.9975
1930,22.19
1940,21.3825
1950,20.5775
1960,19.77
1970,18.9625
1980,18.155
1990,17.35
2000,16.5425
2010,15.735
2020,14.9275
2030,14.9275
2040,14.1225
2050,13.315
2060,13.315
2070,12.5075
2080,12.5075
2090,11.7
2100,11.7
2110,10.895
2120,10.0875
2130,10.0875
2140,9.28
2150,9.28
2160,8.4725
2170,7.6675
2180,7.6675
2190,6.86
2200,6.0525
2210,6.0525
2220,6.0525
2230,5.245
2240,5.245
2250,5.245
2260,5.245
2270,4.44
2280,4.44
2290,4.44
2300,3.6325
2310,3.6325
2320,2.825
2330,2.825
2340,2.825
2350,2.0175
2360,2.0175
2370,2.0175
2380,2.0175
2390,2.0175
2400,2.0175
2410,2.0175
2420,1.615
2430,1.2125
2440,2.0175
2450,2.0175
2460,1.2125
2470,1.2125
2480,1.2125
2490,1.2125
2500,0.405
2510,0.405
2520,0.405
2530,0.405
2540,0.405
2550,0
2560,0
2570,0
2580,0
2590,0
2600,0
2610,0
2620,0
2630,0
2640,0
2650,0
2660,0
2670,0
2680,0
2690,0
2700,0
2710,0
2720,0
2730,0
2740,0
2750,0
2760,0
2770,0
2780,0
2790,0
2800,0
2810,0
2820,0
2830,0
2840,0
2850,0
2860,0
2870,0
2880,0
2890,0
2900,0
2910,0
2920,0
2930,0
2940,0
2950,0
2960,0
2970,0
2980,0
2990,0
